Company,URL,IndustryCode,IndustryCodeDescription
Servotest Testing Systems Ltd,http://www.servotestsystems.com,31,(31)  Manufacture of Electrical Machinery and Apparatus Not Elsewhere Classified
Serv-U Ltd,http://servu.ltd.uk/,45,(45)  Construction
Severn Home Improvements Ltd,http://www.severnhomeimprovements.co.uk,45,(45)  Construction
Studio-G Associates Llp,http://www.sga-llp.co.uk,74,(74)  Other Business Activities
S.Green & Sons Ltd,http://www.sgreenandsons.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
S G Webb & Son Engineering Ltd,http://www.sgwebbandson.co.uk,74,(74)  Other Business Activities
Shading Uk Ltd,http://www.shadinguk.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Stationcomputing Ltd,http://www.sharepointgeoff.com,72,(72)  Computer and Related Activities
Sharrich Enterprises Ltd,http://www.sharpenadviser.co.uk,74,(74)  Other Business Activities
Shasat (Uk) Ltd,http://www.shasat.co.uk,74,(74)  Other Business Activities
The Bakers Dozen,http://www.shauls.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shaw Community Living (Sls) Ltd,http://www.shaw.co.uk/,85,(85)  Health and Social Work
Shaw Pallet (Holdings) Ltd,http://www.shawpallet.co.uk,74,(74)  Other Business Activities
Shawton Developments Ltd,http://www.shawton.co.uk,70,(70)  Real Estate Activities
The Shaw Trust,https://www.shaw-trust.org.uk/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Shears Uk Ltd,http://www.shears-uk.com,74,(74)  Other Business Activities
Sheen Uk Ltd,http://www.sheenprojects.co.uk,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
The City of Sheffield Theatre Trust,https://www.sheffieldtheatres.co.uk/,92,"(92)  Recreational, Cultural and Sporting Activities"
Sheldrake Ltd,http://www.sheldrake.co.uk,22,"(22)  Publishing, Printing and Reproduction of Recorded Media"
Shell U.K. Ltd,https://www.shell.co.uk/,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Shelter the National Campaign for Homeless People Ltd,http://www.shelter.org.uk,85,(85)  Health and Social Work
Shelter Charity Shop,http://www.shelter.org.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shephards Motors Ltd,http://www.shephardsmotors.co.uk,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
The Dog and Gun,https://www.shepherdneame.co.uk/,55,(55)  Hotels and Restaurants
The King William Iv,https://www.shepherdneame.co.uk/,55,(55)  Hotels and Restaurants
Britannia Inn,https://www.shepherdneame.co.uk/,55,(55)  Hotels and Restaurants
Sherlocks of Chichester Ltd,http://www.sherlocks-kennels.co.uk,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
Sherringtons Waste Management Ltd,http://www.sherringtonwm.co.uk,90,"(90)  Sewage and Refuse Disposal, Sanitation and Similar Activities"
Sherwoods International Properties Ltd,http://sherwoodsproperty.com/,74,(74)  Other Business Activities
Shift A Car Ltd,http://www.shiftacar.com,60,(60)  Land Transport; Transport Via Pipelines
The Spina Bifida Shop,https://www.shinecharity.org.uk/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Shining Tree Health Ltd,http://www.shiningtree.co.uk,93,(93)  Other Service Activities
The Gem Box,http://www.shiptonandco.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shirebrook Home Bake,http://www.shirebrookhomebake.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Ventnor Marina Ltd,http://www.shoeburyness-hotel.co.uk,92,"(92)  Recreational, Cultural and Sporting Activities"
Paris Shoes,https://www.shoezone.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shoe Zone,https://www.shoezone.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shoe Zone,https://www.shoezone.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Shontal 1705 Community Interest Company,http://www.shontal.co.uk,80,(80)  Education
Shootdays Ltd,http://shootdays.com/,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Shopfitter-Uk Ltd,http://www.shopfitter-uk.com,45,(45)  Construction
Shores Team Ltd,http://shores.org.uk/,80,(80)  Education
Short Partners Llp,http://www.shortpartners.com,74,(74)  Other Business Activities
Smart Hosting Ltd,http://www.s-hosting.co.uk,72,(72)  Computer and Related Activities
Showers of Mercy Ministries,http://www.showersofmercy.com,80,(80)  Education
Workers Educational Association,https://www.showroomworkstation.org.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Sight Support Derbyshire,http://www.sightsupportderbyshire.org.uk,85,(85)  Health and Social Work
Sigma Components (Farnborough) Ltd,http://www.sigmacomposites.co.uk,28,"(28)  Manufacture of Fabricated Metal Products, Except Machinery and Equipment"
Sigma Engineered Solutions Ltd,http://www.sigmaes.co.uk,74,(74)  Other Business Activities
Signart,http://www.sign-art.co.uk,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
Signature Motorhomes Ltd,http://www.signaturemotorhomes.com,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Signlex Ltd,http://www.signlex.com,74,(74)  Other Business Activities
Sign Pro Ltd,http://www.signpro.eu,22,"(22)  Publishing, Printing and Reproduction of Recorded Media"
Sig Insulations Ltd,http://www.sigplc.com,45,(45)  Construction
Sika Ltd,https://gbr.sika.com/,45,(45)  Construction
Silva Care Ltd,http://silvacare.org.uk/,74,(74)  Other Business Activities
Silverhawk Partners Ltd,http://www.silverhawkpartners.com,74,(74)  Other Business Activities
Simon Burrell Consulting Ltd,http://www.simonburrellconsulting.co.uk,74,(74)  Other Business Activities
Simon Evans Hairdressing Ltd,http://www.simonevanshairdressing.co.uk,93,(93)  Other Service Activities
Simon Foote Architects Ltd,http://www.simonfootearchitects.co.uk/,74,(74)  Other Business Activities
Simon Jeffrey (London) Ltd,http://www.simonjeffreycollection.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Simon Therapie Ltd,https://www.simontherapie.com/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Core Hardware Ltd,https://www.simplydoorhandles.co.uk/,28,"(28)  Manufacture of Fabricated Metal Products, Except Machinery and Equipment"
Simply Financial Solutions Ltd,http://www.simplylettingsuk.com,74,(74)  Other Business Activities
Tektrade Trading and Consulting Ltd,http://simplynaturale.co.uk/,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Tyson Sewing Machines,https://www.singerco.co.uk/,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Investex Uk Ltd,http://www.sinvestec.com,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
